path	sentence	client_id
common_voice_ckb_30241618.mp3	قوتابییەکی نوێ هاتە نێو پۆلەکە	
common_voice_ckb_30241735.mp3	پێویستم بە کاری تۆ نییە	
common_voice_ckb_30241761.mp3	سبەی موناقەشەی ئەو پرسیارە دەکەن	
common_voice_ckb_30295860.mp3	نەشمیل کلیلەکەی ون کردووە	
common_voice_ckb_30312721.mp3	نامەوێت خەڵک پێم بڵێن چی بکەم	
common_voice_ckb_30312746.mp3	چالاک پێی وایە پێکەنیناوییە	
common_voice_ckb_30312748.mp3	ئەمشەو ناتوانم هیچ بکەم	
common_voice_ckb_30312773.mp3	وامزانی دەرباز دوژمنتانە	
common_voice_ckb_30312878.mp3	پەیمانگەی ەونەرە جوانەکان	
common_voice_ckb_30312900.mp3	پێشتر قەت ئەوەم نەدیتبوو	
common_voice_ckb_30312923.mp3	هەوڵ دەدەم نیگەران نەبم	
common_voice_ckb_30312926.mp3	هێمن پێی وایە دەتوانێت ئەو کارە بکات	
common_voice_ckb_30313034.mp3	ناکرێت هەر تەنها وەک زۆرینەیەکی سادەی پەرلەمانی لێی بڕوانرێت	
common_voice_ckb_30313048.mp3	خۆ من و خەم لێک ناترازێین	
common_voice_ckb_30313049.mp3	بۆ بەرگریی نیشتمان سنگم دەکەم بە قەڵغان	
common_voice_ckb_30313063.mp3	ئازاد پارە پاشەکەوت دەکات بۆ ئەوەی بتوانێت بەلەمێکی ماتۆڕ بکڕێت	
common_voice_ckb_30313069.mp3	محەممەد برامە باوکم نییە	
common_voice_ckb_30313341.mp3	هەر لەبەر ئەوەشە دەتوانرێت بگوترێت دەقەکانی ئەم کۆمەڵەیە باشن	
common_voice_ckb_30313375.mp3	یووسف چەند گوڵێکی خستە ناو گوڵدانەکە	
common_voice_ckb_30313397.mp3	سەرۆک شارەوانی هیچ نازانێت	
common_voice_ckb_30313418.mp3	گوتیان زۆرمان لەبیر نەماوە	
common_voice_ckb_30313420.mp3	ئەگەرێک هەیە کە ئەو دەنگۆیە ڕاست بێت	
common_voice_ckb_30313421.mp3	نازانم کامیان بکڕم	
common_voice_ckb_30313517.mp3	عومەر سێ منداڵی گەورە کردن	
common_voice_ckb_30313542.mp3	پشیلەیەک لەژێر مێزەکەوە هاتە دەر	
common_voice_ckb_30317869.mp3	هیوادارین ساڵی داهاتوو بتوانین ئەوە بکەین	
common_voice_ckb_30317870.mp3	ئەو دەزانێت تۆ کێیت	
common_voice_ckb_30317888.mp3	ئەوان کچە بچووکەکەیان گرتەخۆ	
common_voice_ckb_30317889.mp3	پێم وایە کاک عەلی هێشتا نیگەرانە	
common_voice_ckb_30317906.mp3	کتێبەکەی کردەوە	
common_voice_ckb_30317908.mp3	ژنەکەت پشیلەی هەیە	
common_voice_ckb_30317909.mp3	یەکێکم بزر کرد	
common_voice_ckb_30317926.mp3	مووسا لە تەمەنی سی ساڵی خۆی کوشت	
common_voice_ckb_30317927.mp3	کچەکە حەزی لە مۆسیقاکەیە	
common_voice_ckb_30317938.mp3	چەند شیر ماوە	
common_voice_ckb_30317963.mp3	تا دێت ئۆقیانووسەکە ترشتر دەبێت	
common_voice_ckb_30318017.mp3	هەرگیز داوام لێ نەکردوویت یارمەتیم بدەیت	
common_voice_ckb_30318083.mp3	تەمبەڵەکان هیچ چانسێکی سەرکەوتنیان نییە	
common_voice_ckb_30318090.mp3	لەگەڵ گرنگترین هاوبەشە بازرگانییەکانیدا	
common_voice_ckb_30318092.mp3	ئاراس دەزانێت کە هەڵەیەک هەیە	
common_voice_ckb_30340381.mp3	لە کاتی گەشتەکدا هەردوو فڕۆکەوانەکە چاودێریی سیستەمیان کردووە	
common_voice_ckb_30340383.mp3	زیندان قوتابخانەی تاوانە	
common_voice_ckb_30340411.mp3	ئەوە لە کەمتەرخەمیی خۆیان بووە	
common_voice_ckb_30340413.mp3	نابێتە هۆکاری دەستبەرداربوونی خۆپاراستن	
common_voice_ckb_30340422.mp3	بەڵام چ کەسانێک بوون کە ئەم چەکانەیان بە سەددام فرۆشت	
common_voice_ckb_30340450.mp3	کە پارچەیەکی چەماوە لەبەردەم کامێرەیە	
common_voice_ckb_30340451.mp3	لە بانە لە کوردستانی ئێران	
